     NO.	    Tcal	  T-Tcal	       d
       1	1.042076	-0.183996	0.000000
       2	1.042067	-0.183987	34.295623
       3	1.042042	-0.183962	68.591246
       4	1.042000	-0.183920	102.886870
       5	1.041941	-0.183861	137.182493
       6	1.041865	-0.183785	171.478116
       7	1.041773	-0.183693	205.773739
       8	1.041663	-0.183583	240.069363
       9	1.041537	-0.183457	274.364986
      10	1.041395	-0.183315	308.660609
      11	1.041235	-0.183155	342.956232
      12	1.041060	-0.182980	377.251856
      13	1.040868	-0.182788	411.547479
      14	1.040659	-0.182579	445.843102
      15	1.040434	-0.182354	480.138725
      16	1.040193	-0.182113	514.434349
      17	1.039936	-0.181856	548.729972
      18	1.039663	-0.181583	583.025595
      19	1.039374	-0.181294	617.321218
      20	1.039069	-0.180989	651.616842
      21	1.038749	-0.180669	685.912465
      22	1.038412	-0.180332	720.208088
      23	1.038061	-0.179981	754.503711
      24	1.037694	-0.179614	788.799334
      25	1.037313	-0.179233	823.094958
      26	1.036916	-0.178836	857.390581
      27	1.036504	-0.178424	891.686204
      28	1.036078	-0.177998	925.981827
      29	1.035637	-0.177557	960.277451
      30	1.035182	-0.177102	994.573074
      31	1.034713	-0.176633	1028.868697
      32	1.034230	-0.176150	1063.164320
      33	1.033733	-0.175653	1097.459944
      34	1.033223	-0.175143	1131.755567
      35	1.032699	-0.174619	1166.051190
      36	1.032162	-0.174082	1200.346813
      37	1.031612	-0.173532	1234.642437
      38	1.031049	-0.172969	1268.938060
      39	1.030474	-0.172394	1303.233683
      40	1.029886	-0.171806	1337.529306
      41	1.029286	-0.171206	1371.824929
      42	1.028674	-0.170594	1406.120553
      43	1.028051	-0.169971	1440.416176
      44	1.027416	-0.169336	1474.711799
      45	1.026770	-0.168690	1509.007422
      46	1.026114	-0.168034	1543.303046
      47	1.025446	-0.167366	1577.598669
      48	1.024768	-0.166688	1611.894292
      49	1.024080	-0.166000	1646.189915
      50	1.023381	-0.165301	1680.485539
      51	1.022674	-0.164594	1714.781162
      52	1.021956	-0.163876	1749.076785
      53	1.021230	-0.163150	1783.372408
      54	1.020494	-0.162414	1817.668032
      55	1.019750	-0.161670	1851.963655
      56	1.018998	-0.160918	1886.259278
      57	1.018237	-0.160157	1920.554901
      58	1.017468	-0.159388	1954.850525
      59	1.016692	-0.158612	1989.146148
      60	1.015909	-0.157829	2023.441771
      61	1.015119	-0.157039	2057.737394
      62	1.014321	-0.156241	2092.033017
      63	1.013518	-0.155438	2126.328641
      64	1.012708	-0.154628	2160.624264
      65	1.011892	-0.153812	2194.919887
      66	1.011071	-0.152991	2229.215510
      67	1.010244	-0.152164	2263.511134
      68	1.009412	-0.151332	2297.806757
      69	1.008575	-0.150495	2332.102380
      70	1.007734	-0.149654	2366.398003
      71	1.006889	-0.148809	2400.693627
      72	1.006039	-0.147959	2434.989250
      73	1.005186	-0.147106	2469.284873
      74	1.004330	-0.146250	2503.580496
      75	1.003470	-0.145390	2537.876120
      76	1.002608	-0.144528	2572.171743
      77	1.001743	-0.143663	2606.467366
      78	1.000876	-0.142796	2640.762989
      79	1.000007	-0.141927	2675.058613
      80	0.999136	-0.141056	2709.354236
      81	0.998263	-0.140183	2743.649859
      82	0.997390	-0.139310	2777.945482
      83	0.996515	-0.138435	2812.241105
      84	0.995640	-0.137560	2846.536729
      85	0.994765	-0.136685	2880.832352
      86	0.993890	-0.135810	2915.127975
      87	0.993015	-0.134935	2949.423598
      88	0.992140	-0.134060	2983.719222
      89	0.991266	-0.133186	3018.014845
      90	0.990393	-0.132313	3052.310468
      91	0.989521	-0.131441	3086.606091
      92	0.988651	-0.130571	3120.901715
      93	0.987783	-0.129703	3155.197338
      94	0.986916	-0.128836	3189.492961
      95	0.986052	-0.127972	3223.788584
      96	0.985191	-0.127111	3258.084208
      97	0.984332	-0.126252	3292.379831
      98	0.983476	-0.125396	3326.675454
      99	0.982624	-0.124544	3360.971077
     100	0.981775	-0.123695	3395.266701
     101	0.980931	-0.122851	3429.562324
     102	0.980090	-0.122010	3463.857947
     103	0.979253	-0.121173	3498.153570
